Response_Threshold,User_Group,User_Percentage
10,All_Users,2.0710844744528316
10,Recent_Users,3.2239155920281357
20,All_Users,4.6808026400637255
20,Recent_Users,7.737397420867527
30,All_Users,7.787429351742974
30,Recent_Users,13.599062133645957
40,All_Users,11.432689754580283
40,Recent_Users,19.636576787807737
50,All_Users,15.677274968706142
50,Recent_Users,28.663540445486518
60,All_Users,20.987747980123657
60,Recent_Users,37.74912075029309
70,All_Users,28.0127451352274
70,Recent_Users,46.893317702227435
80,All_Users,38.31126958236923
80,Recent_Users,63.59906213364596
90,All_Users,55.92307400523461
90,Recent_Users,81.82883939038686
