question,question_label,demographic,response,HS or less,Some college/2-yr degree,4-yr/post-graduate degree
q33,"In recent years, digital voice assistants like Google Assistant, Amazon's Alexa, and Siri have become widely available. 

Regardless of whether you use a voice assistant in your daily life, if you were invited to another survey, how likely is it that you would participate if the questions were asked by a digital voice assistant?",education,Very likely,25%,18%,24%
q33,"In recent years, digital voice assistants like Google Assistant, Amazon's Alexa, and Siri have become widely available. 

Regardless of whether you use a voice assistant in your daily life, if you were invited to another survey, how likely is it that you would participate if the questions were asked by a digital voice assistant?",education,Likely,44%,41%,41%
q33,"In recent years, digital voice assistants like Google Assistant, Amazon's Alexa, and Siri have become widely available. 

Regardless of whether you use a voice assistant in your daily life, if you were invited to another survey, how likely is it that you would participate if the questions were asked by a digital voice assistant?",education,Not very likely,19%,25%,25%
q33,"In recent years, digital voice assistants like Google Assistant, Amazon's Alexa, and Siri have become widely available. 

Regardless of whether you use a voice assistant in your daily life, if you were invited to another survey, how likely is it that you would participate if the questions were asked by a digital voice assistant?",education,Not at all likely,12%,15%,10%
