question,question_label,demographic,response,Male,Female,Other
q33,"In recent years, digital voice assistants like Google Assistant, Amazon's Alexa, and Siri have become widely available. 

Regardless of whether you use a voice assistant in your daily life, if you were invited to another survey, how likely is it that you would participate if the questions were asked by a digital voice assistant?",gender,Very likely,26%,20%,NA
q33,"In recent years, digital voice assistants like Google Assistant, Amazon's Alexa, and Siri have become widely available. 

Regardless of whether you use a voice assistant in your daily life, if you were invited to another survey, how likely is it that you would participate if the questions were asked by a digital voice assistant?",gender,Likely,41%,44%,88%
q33,"In recent years, digital voice assistants like Google Assistant, Amazon's Alexa, and Siri have become widely available. 

Regardless of whether you use a voice assistant in your daily life, if you were invited to another survey, how likely is it that you would participate if the questions were asked by a digital voice assistant?",gender,Not very likely,21%,24%,12%
q33,"In recent years, digital voice assistants like Google Assistant, Amazon's Alexa, and Siri have become widely available. 

Regardless of whether you use a voice assistant in your daily life, if you were invited to another survey, how likely is it that you would participate if the questions were asked by a digital voice assistant?",gender,Not at all likely,12%,12%,NA
