question,question_label,demographic,response,Male,Female,Other
q34,"If you were to receive a survey invitation with an incentive/reward that gave you 100% of your incentive payment via a prepaid Visa card and then also gave 5% of the incentive value to a charity of your choice, would that incentive offer interest you?",gender,It would become my preferred incentive offer,30%,36%,65%
q34,"If you were to receive a survey invitation with an incentive/reward that gave you 100% of your incentive payment via a prepaid Visa card and then also gave 5% of the incentive value to a charity of your choice, would that incentive offer interest you?",gender,It would be one I would likely choose,59%,54%,35%
q34,"If you were to receive a survey invitation with an incentive/reward that gave you 100% of your incentive payment via a prepaid Visa card and then also gave 5% of the incentive value to a charity of your choice, would that incentive offer interest you?",gender,It would not interest me,12%,10%,NA
