question,question_label,demographic,response,White,Black,Hispanic,Other
q35,"Social media users have the option to poll (ask a survey question to) their audience using platforms like Twitter, Facebook, Instagram, and TikTok.

Do you believe in social media polls?",raceeth,Yes,33%,51%,51%,27%
q35,"Social media users have the option to poll (ask a survey question to) their audience using platforms like Twitter, Facebook, Instagram, and TikTok.

Do you believe in social media polls?",raceeth,No,22%,21%,18%,21%
q35,"Social media users have the option to poll (ask a survey question to) their audience using platforms like Twitter, Facebook, Instagram, and TikTok.

Do you believe in social media polls?",raceeth,It depends on who is asking,44%,27%,31%,51%
