question,question_label,demographic,response,18-29,30-49,50-64,65+
q35,"Social media users have the option to poll (ask a survey question to) their audience using platforms like Twitter, Facebook, Instagram, and TikTok.

Do you believe in social media polls?",age_group4,Yes,45%,56%,27%,18%
q35,"Social media users have the option to poll (ask a survey question to) their audience using platforms like Twitter, Facebook, Instagram, and TikTok.

Do you believe in social media polls?",age_group4,No,11%,16%,27%,31%
q35,"Social media users have the option to poll (ask a survey question to) their audience using platforms like Twitter, Facebook, Instagram, and TikTok.

Do you believe in social media polls?",age_group4,It depends on who is asking,44%,27%,46%,51%
