question,question_label,demographic,response,HS or less,Some college/2-yr degree,4-yr/post-graduate degree
q30,How important do you think surveys are for society?,education,Extremely important,17%,12%,13%
q30,How important do you think surveys are for society?,education,Very important,36%,32%,33%
q30,How important do you think surveys are for society?,education,Somewhat important,38%,43%,43%
q30,How important do you think surveys are for society?,education,Not very important,7%,10%,9%
q30,How important do you think surveys are for society?,education,Not at all important,2%,3%,1%
