question,question_label,demographic,response,HS or less,Some college/2-yr degree,4-yr/post-graduate degree
q28,"In general, how accurate do you think public opinion surveys are?",education,Extremely accurate,8%,5%,7%
q28,"In general, how accurate do you think public opinion surveys are?",education,Very accurate,31%,25%,25%
q28,"In general, how accurate do you think public opinion surveys are?",education,Somewhat accurate,54%,61%,58%
q28,"In general, how accurate do you think public opinion surveys are?",education,Not very accurate,5%,9%,10%
q28,"In general, how accurate do you think public opinion surveys are?",education,Not at all accurate,1%,0%,NA
