question,question_label,demographic,response,White,Black,Hispanic,Other
q28,"In general, how accurate do you think public opinion surveys are?",raceeth,Extremely accurate,6%,13%,9%,5%
q28,"In general, how accurate do you think public opinion surveys are?",raceeth,Very accurate,27%,26%,36%,15%
q28,"In general, how accurate do you think public opinion surveys are?",raceeth,Somewhat accurate,58%,56%,48%,68%
q28,"In general, how accurate do you think public opinion surveys are?",raceeth,Not very accurate,8%,5%,6%,12%
q28,"In general, how accurate do you think public opinion surveys are?",raceeth,Not at all accurate,1%,NA,2%,NA
