question,question_label,demographic,response,HS or less,Some college/2-yr degree,4-yr/post-graduate degree
q31,How likely are you to participate in a survey conducted via phone call?,education,Very likely,22%,17%,20%
q31,How likely are you to participate in a survey conducted via phone call?,education,Likely,17%,13%,22%
q31,How likely are you to participate in a survey conducted via phone call?,education,Somewhat likely,23%,27%,25%
q31,How likely are you to participate in a survey conducted via phone call?,education,Not likely,26%,31%,26%
q31,How likely are you to participate in a survey conducted via phone call?,education,I would never participate in a phone survey,11%,12%,7%
